GVKEY,LPERMNO,iid,datadate,trt1m,conml
002817,18542,01,2014/12/31,-9.0159,Caterpillar Inc
002817,18542,01,2015/01/31,-11.8650,Caterpillar Inc
002817,18542,01,2015/02/28,3.6639,Caterpillar Inc
002817,18542,01,2015/03/31,-3.4620,Caterpillar Inc
002817,18542,01,2015/04/30,9.4340,Caterpillar Inc
002817,18542,01,2015/05/31,-1.7956,Caterpillar Inc
002817,18542,01,2015/06/30,-0.5860,Caterpillar Inc
002817,18542,01,2015/07/31,-6.3900,Caterpillar Inc
002817,18542,01,2015/08/31,-2.7852,Caterpillar Inc
002817,18542,01,2015/09/30,-14.4950,Caterpillar Inc
002817,18542,01,2015/10/31,12.8519,Caterpillar Inc
002817,18542,01,2015/11/30,-0.4658,Caterpillar Inc
002817,18542,01,2015/12/31,-6.4556,Caterpillar Inc
002817,18542,01,2016/01/31,-7.2837,Caterpillar Inc
002817,18542,01,2016/02/29,8.7725,Caterpillar Inc
002817,18542,01,2016/03/31,13.0576,Caterpillar Inc
002817,18542,01,2016/04/30,2.5477,Caterpillar Inc
002817,18542,01,2016/05/31,-6.7036,Caterpillar Inc
002817,18542,01,2016/06/30,4.5511,Caterpillar Inc
002817,18542,01,2016/07/31,10.1834,Caterpillar Inc
002817,18542,01,2016/08/31,-0.9787,Caterpillar Inc
002817,18542,01,2016/09/30,8.3221,Caterpillar Inc
002817,18542,01,2016/10/31,-5.1143,Caterpillar Inc
002817,18542,01,2016/11/30,14.4980,Caterpillar Inc
002817,18542,01,2016/12/31,-2.9510,Caterpillar Inc
002968,47896,01,2010/01/31,-6.4315,JPMorgan Chase & Co
002968,47896,01,2010/02/28,7.7812,JPMorgan Chase & Co
002968,47896,01,2010/03/31,6.6238,JPMorgan Chase & Co
002968,47896,01,2010/04/30,-4.7374,JPMorgan Chase & Co
002968,47896,01,2010/05/31,-7.0456,JPMorgan Chase & Co
002968,47896,01,2010/06/30,-7.5038,JPMorgan Chase & Co
002968,47896,01,2010/07/31,10.1612,JPMorgan Chase & Co
002968,47896,01,2010/08/31,-9.7319,JPMorgan Chase & Co
002968,47896,01,2010/09/30,4.6755,JPMorgan Chase & Co
002968,47896,01,2010/10/31,-0.9984,JPMorgan Chase & Co
002968,47896,01,2010/11/30,-0.6112,JPMorgan Chase & Co
002968,47896,01,2010/12/31,13.4225,JPMorgan Chase & Co
002968,47896,01,2011/01/31,6.0585,JPMorgan Chase & Co
002968,47896,01,2011/02/28,3.8941,JPMorgan Chase & Co
002968,47896,01,2011/03/31,-1.2637,JPMorgan Chase & Co
002968,47896,01,2011/04/30,-0.4772,JPMorgan Chase & Co
002968,47896,01,2011/05/31,-5.2378,JPMorgan Chase & Co
002968,47896,01,2011/06/30,-5.3191,JPMorgan Chase & Co
002968,47896,01,2011/07/31,-0.5862,JPMorgan Chase & Co
002968,47896,01,2011/08/31,-7.1446,JPMorgan Chase & Co
002968,47896,01,2011/09/30,-19.8083,JPMorgan Chase & Co
002968,47896,01,2011/10/31,16.2351,JPMorgan Chase & Co
002968,47896,01,2011/11/30,-10.9033,JPMorgan Chase & Co
002968,47896,01,2011/12/31,7.3620,JPMorgan Chase & Co
002968,47896,01,2012/01/31,12.9323,JPMorgan Chase & Co
002968,47896,01,2012/02/29,5.2011,JPMorgan Chase & Co
002968,47896,01,2012/03/31,17.1764,JPMorgan Chase & Co
002968,47896,01,2012/04/30,-5.8721,JPMorgan Chase & Co
002968,47896,01,2012/05/31,-22.8711,JPMorgan Chase & Co
002968,47896,01,2012/06/30,7.7828,JPMorgan Chase & Co
002968,47896,01,2012/07/31,1.5953,JPMorgan Chase & Co
002968,47896,01,2012/08/31,3.1667,JPMorgan Chase & Co
002968,47896,01,2012/09/30,8.9930,JPMorgan Chase & Co
002968,47896,01,2012/10/31,3.7055,JPMorgan Chase & Co
002968,47896,01,2012/11/30,-1.4395,JPMorgan Chase & Co
002968,47896,01,2012/12/31,7.0329,JPMorgan Chase & Co
002968,47896,01,2013/01/31,7.6893,JPMorgan Chase & Co
002968,47896,01,2013/02/28,3.9745,JPMorgan Chase & Co
002968,47896,01,2013/03/31,-2.9845,JPMorgan Chase & Co
002968,47896,01,2013/04/30,3.8980,JPMorgan Chase & Co
002968,47896,01,2013/05/31,11.3854,JPMorgan Chase & Co
002968,47896,01,2013/06/30,-3.2973,JPMorgan Chase & Co
002968,47896,01,2013/07/31,6.2891,JPMorgan Chase & Co
002968,47896,01,2013/08/31,-9.3307,JPMorgan Chase & Co
002968,47896,01,2013/09/30,2.2957,JPMorgan Chase & Co
002968,47896,01,2013/10/31,0.4450,JPMorgan Chase & Co
002968,47896,01,2013/11/30,11.0206,JPMorgan Chase & Co
002968,47896,01,2013/12/31,2.2020,JPMorgan Chase & Co
002968,47896,01,2014/01/31,-4.6854,JPMorgan Chase & Co
002968,47896,01,2014/02/28,2.6373,JPMorgan Chase & Co
